着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),Year
1,3,5,ワールドプレミア,牡3,57,武豊,3:06.0,"",**,7-6-8-6,35.8,6.5,3,484(+12),,,,"[西]
友道康夫",大塚亮一,"14,702.7",2019
2,7,14,サトノルークス,牡3,57,福永祐一,3:06.0,クビ,**,10-11-12-7,35.7,24.7,8,470(+8),,,,"[西]
池江泰寿",サトミホースカンパニー,"5,572.2",2019
3,7,13,ヴェロックス,牡3,57,川田将雅,3:06.2,1,**,4-4-4-4,36.2,2.2,1,490(0),,,,"[西]
中内田充",金子真人ホールディングス,"3,386.1",2019
4,3,6,ディバインフォース,牡3,57,横山典弘,3:06.3,3/4,**,15-15-13-11,35.8,164.8,16,448(+2),,,,"[西]
寺島良",吉田晴哉,"1,800.0",2019
5,4,8,メロディーレーン,牝3,55,坂井瑠星,3:06.4,クビ,**,16-16-16-15,35.7,65.7,12,340(+2),,,,"[西]
森田直行",岡田牧雄,"1,200.0",2019
6,6,12,レッドジェニアル,牡3,57,酒井学,3:06.6,1,**,7-8-8-7,36.4,15,7,486(-2),,,,"[西]
高橋義忠",東京ホースレーシング,"",2019
7,8,17,タガノディアマンテ,牡3,57,田辺裕信,3:06.6,クビ,**,12-12-8-2,36.6,59.9,11,470(-4),,,,"[西]
鮫島一歩",八木良司,"",2019
8,5,10,カウディーリョ,牡3,57,Ｍ．デム,3:06.6,ハナ,**,1-1-1-1,36.8,68,13,434(-14),,,,"[東]
堀宣行",キャロットファーム,"",2019
9,1,2,ニシノデイジー,牡3,57,ルメール,3:06.7,1/2,**,12-12-13-12,36.2,6,2,492(+4),,,,"[東]
高木登",西山茂行,"",2019
10,4,7,ヒシゲッコウ,牡3,57,スミヨン,3:06.7,クビ,**,12-12-8-7,36.5,9.6,4,484(-2),,,,"[東]
堀宣行",阿部雅英,"",2019
11,7,15,ホウオウサーベル,牡3,57,蛯名正義,3:07.4,4,**,7-8-7-4,37.4,10.5,5,486(-2),,,,"[東]
奥村武",小笹芳央,"",2019
12,8,18,メイショウテンゲン,牡3,57,池添謙一,3:07.7,1.3/4,**,4-6-4-15,37.3,117.2,15,456(+10),,,,"[西]
池添兼雄",松本好雄,"",2019
13,1,1,ザダル,牡3,57,石橋脩,3:08.0,1.3/4,**,10-10-13-12,37.5,14.9,6,480(-12),,,,"[東]
大竹正博",キャロットファーム,"",2019
14,8,16,ナイママ,牡3,57,柴田大知,3:08.5,3,**,3-3-3-7,38.4,274,18,474(+2),,,,"[東]
武藤善則",岡田繁幸,"",2019
15,2,4,ユニコーンライオン,牡3,57,岩田康誠,3:08.7,1.1/2,**,4-4-4-12,38.5,53,10,526(+10),,,,"[西]
矢作芳人",ライオンレースホース,"",2019
16,6,11,シフルマン,牡3,57,松山弘平,3:08.7,ハナ,**,18-17-17-17,37.9,71.3,14,494(-8),,,,"[西]
中尾秀正",Ｇ１レーシング,"",2019
17,5,9,ヴァンケドミンゴ,牡3,57,藤岡佑介,3:08.7,ハナ,**,2-2-2-2,38.8,187.5,17,462(+6),,,,"[西]
藤岡健一",幅田昌伸,"",2019
18,2,3,カリボール,牡3,57,藤井勘一,3:12.9,大,**,16-17-17-18,41.8,52.4,9,490(0),,,,"[西]
須貝尚介",大和屋暁,"",2019
1,2,3,コントレイル,牡3,57,福永祐一,3:05.5,"",**,7-7-5-4,35.2,1.1,1,458(-2),,,,"[西]
矢作芳人",前田晋二,"14,732.8",2020
2,5,9,アリストテレス,牡3,57,ルメール,3:05.5,クビ,**,7-7-7-4,35.1,23,4,474(+8),,,,"[西]
音無秀孝",近藤英子,"5,580.8",2020
3,5,10,サトノフラッグ,牡3,57,戸崎圭太,3:06.1,3.1/2,**,14-15-15-14,35.2,34.9,5,490(+4),,,,"[東]
国枝栄",サトミホースカンパニー,"3,390.4",2020
4,4,8,ディープボンド,牡3,57,和田竜二,3:06.2,クビ,**,5-5-3-2,36.1,51.6,7,484(-6),,,,"[西]
大久保龍",前田晋二,"1,800.0",2020
5,7,15,ブラックホール,牡3,57,藤岡佑介,3:06.2,クビ,**,12-12-13-11,35.4,116.8,14,436(-8),,,,"[東]
相沢郁",芹澤精一,"1,200.0",2020
6,7,13,ロバートソンキー,牡3,57,伊藤工真,3:06.6,2,**,14-14-15-14,35.6,76.7,9,470(-4),,,,"[東]
林徹",保坂和孝,"",2020
7,3,6,ヴェルトライゼンデ,牡3,57,池添謙一,3:06.9,2,**,10-10-10-8,36.3,10.3,2,488(0),,,,"[西]
池江泰寿",サンデーレーシング,"",2020
8,7,14,ヴァルコス,牡3,57,岩田康誠,3:07.1,1.1/4,**,9-9-10-8,36.5,42.2,6,502(+6),,,,"[西]
友道康夫",佐々木主浩,"",2020
9,1,2,ガロアクリーク,牡3,57,川田将雅,3:07.5,2.1/2,**,4-4-3-2,37.4,82.5,10,498(-4),,,,"[東]
上原博之",水上行雄,"",2020
10,6,11,バビット,牡3,57,内田博幸,3:07.6,クビ,**,2-2-2-1,37.7,12.5,3,450(-12),,,,"[西]
浜田多実",宮田直也,"",2020
11,2,4,マンオブスピリット,牡3,57,Ｍ．デム,3:07.6,クビ,**,16-16-10-11,36.9,116.6,13,488(+2),,,,"[西]
斉藤崇史",ホシノレーシング,"",2020
12,3,5,サトノインプレッサ,牡3,57,坂井瑠星,3:07.8,1,**,10-10-9-8,37.2,96.9,11,484(0),,,,"[西]
矢作芳人",サトミホースカンパニー,"",2020
13,1,1,ディアマンミノル,牡3,57,幸英明,3:07.9,1/2,**,12-12-13-11,37.1,109.9,12,458(-6),,,,"[西]
本田優",吉岡實,"",2020
14,8,16,ターキッシュパレス,牡3,57,富田暁,3:07.9,クビ,**,17-17-18-18,36.6,254.4,16,472(+4),,,,"[西]
昆貢",ゴドルフィン,"",2020
15,4,7,ダノングロワール,牡3,57,北村友一,3:08.5,3.1/2,**,5-5-5-7,38.1,64.2,8,488(+4),,,,"[東]
国枝栄",ダノックス,"",2020
16,6,12,レクセランス,牡3,57,松山弘平,3:09.2,4,**,3-3-7-14,38.4,140.6,15,480(-4),,,,"[西]
池添学",シルクレーシング,"",2020
17,8,18,ビターエンダー,牡3,57,津村明秀,3:09.4,1.1/4,**,18-18-15-14,38.3,302.1,17,476(+2),,,,"[東]
相沢郁",ヒダカ・ブリーダーズ・ユニオン,"",2020
18,8,17,キメラヴェリテ,牡3,57,松若風馬,3:11.7,大,**,1-1-1-4,41.8,324,18,540(0),,,,"[西]
中竹和也",加藤誠,"",2020
1,2,3,タイトルホルダー,牡3,57,横山武史,3:04.6,"",**,1-1-1-1,35.1,8,4,464(-2),,,,"[東]
栗田徹",山田弘,"15,007.9",2021
2,8,18,オーソクレース,牡3,57,ルメール,3:05.4,5,**,11-11-10-9,34.8,5.4,3,474(-2),,,,"[東]
久保田貴",キャロットファーム,"5,659.4",2021
3,6,11,ディヴァインラヴ,牝3,55,福永祐一,3:05.4,アタマ,**,6-6-6-6,35.2,17.3,6,484(0),,,,"[西]
斉藤崇史",窪田芳郎,"3,429.7",2021
4,7,14,ステラヴェローチェ,牡3,57,吉田隼人,3:05.4,ハナ,**,15-15-15-9,34.7,4.1,2,494(-12),,,,"[西]
須貝尚介",大野剛嗣,"1,800.0",2021
5,4,7,ディープモンスター,牡3,57,武豊,3:05.6,1.1/2,**,8-9-10-11,34.9,18.1,7,450(-4),,,,"[西]
池江泰寿",ＤＭＭドリームクラブ,"1,200.0",2021
6,5,9,ヴェローチェオロ,牡3,57,幸英明,3:05.7,クビ,**,12-12-12-14,34.9,44.1,12,470(+2),,,,"[西]
須貝尚介",大野剛嗣,"",2021
7,7,13,アリーヴォ,牡3,57,Ｍ．デム,3:05.8,3/4,**,8-9-7-7,35.4,40.3,11,492(0),,,,"[西]
杉山晴紀",シルクレーシング,"",2021
